severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,196,javascript:S6774,'accent' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBQ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,217,javascript:S6774,'data' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBR
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,217,javascript:S6774,'colorMap' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBS
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,217,javascript:S6774,'height' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBT
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,236,javascript:S6774,'data.map' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBU
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,246,javascript:S6774,'data' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBV
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,246,javascript:S6774,'colorMap' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBW
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,246,javascript:S6774,'height' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBX
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,271,javascript:S6774,'data.map' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBY
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,281,javascript:S6774,'rows' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBZ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,283,javascript:S6774,'rows.length' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBa
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,291,javascript:S6774,'rows.length' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBb
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,295,javascript:S6774,'rows.map' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421bzmcT_hZbQTsXBc
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,318,javascript:S3776,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,16min,2026-05-17T16:39:00+0000,2026-05-17T18:07:55+0000,AZ421bzmcT_hZbQTsXBd
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.test.js,22,javascript:S6774,'children' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421btYcT_hZbQTsXBH
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.test.js,28,javascript:S6774,'children' is missing in props validation,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421btYcT_hZbQTsXBI
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.test.js,582,javascript:S1481,Remove the declaration of the unused '_omit' variable.,5min,2026-05-17T16:39:00+0000,2026-05-17T16:39:00+0000,AZ421btYcT_hZbQTsXBJ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,181,javascript:S6774,'label' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjH
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,185,javascript:S6774,'message' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjI
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,185,javascript:S6774,'onRetry' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjJ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,319,javascript:S6774,'cardStyle' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjK
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,320,javascript:S6774,'cardHeaderStyle' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjL
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,321,javascript:S6774,'cardTitleStyle' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjM
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,322,javascript:S6774,'cardSubtitleStyle' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjN
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SoarMetricsDashboard.js,323,javascript:S6774,'userRole' is missing in props validation,5min,2026-05-17T16:10:30+0000,2026-05-17T16:10:37+0000,AZ42vTXK2fnSISr31ZjO
